sonda,resistente_exp,sensible_exp
1553232_at,4.019388973,4.040290972
1553234_at,3.585091988,3.566768144
1553235_at,3.589311265,3.772947586
1553237_x_at,3.669876745,3.700516389
1553238_a_at,5.957425584,6.080180147
1553239_at,4.565192156,4.540446933
1553241_at,2.964446143,3.017353684
1553243_at,2.545964969,2.600406176
1553244_at,3.676517544,3.581158081
1553246_a_at,4.392793651,4.45670079
1553247_a_at,4.807792006,4.58670926
1553248_at,4.47865935,4.534401629
1553249_at,2.991435411,2.955508449
1553252_a_at,5.679618579,5.45326581
1553253_at,4.931921882,5.014601115
1553254_at,2.47160555,2.487886347
1553255_at,2.776203179,2.840000341
1553257_at,4.180842445,4.254554626
1553258_at,3.900596681,3.966966599
1553260_s_at,2.208317226,2.210761249
1553261_x_at,2.196857137,2.222088009
1553262_a_at,5.790923137,5.952078518
1553263_at,6.277069536,6.359496354
1553264_a_at,4.993253492,5.034374824
1553265_at,3.051660091,2.997449616
1553266_at,2.145577157,2.190818358
1553267_a_at,2.474867444,2.568240786
1553268_at,4.416821036,4.497172775
1553269_at,4.169744502,3.565386657
1553271_at,3.598585705,3.35808104
1553272_at,5.00879288,5.170641729
1553274_a_at,7.087648571,6.910284375
1553275_s_at,2.260714502,2.325763436
1553276_at,2.21011558,2.200014757
1553277_at,2.306809629,2.340483853
1553279_at,5.156333112,5.146962005
1553280_at,3.263238835,3.002044229
1553281_at,4.228944361,4.212850211
